Lady Jane Dudley (née Grey);1500;Proclaimed Queen 1553;mw01958.jpg
Thomas Wriothesley, 1st Earl of Southampton;1500;Administrator;mw125560.jpg
Henry Wriothesley, 3rd Earl of Southampton;1500;Patron of Shakespeare;mw05918.jpg
Sir Henry Guildford;1500;Courtier and Master of the Horse and Controller of the Household;mw43309.jpg
Sir Robert Southwell;1500;Commander of the 'Elizabeth' against the Spanish Armada;mw207039.jpg
John Woodall;1500;Surgeon;mw12810.jpg
Thomas Sparke;1500;Church of England clergyman;mw207170.jpg
Sir Edward Hoby;1500;Scholar and favourite of James I;mw03170.jpg
Robert Spencer, 1st Baron Spencer;1500;Sheep farmer and politician, MP for Brackley;mw131084.jpg
Sir Edward Coke;1500;Lawyer, legal writer and politician;mw267909.jpg
George Hoefnagel;1500;Painter and engraver;mw133599.jpg
Rudolf Gwalther;1500;Theologian;mw125435 (5).jpg
William Somerset, 3rd Earl of Worcester;1500;Courtier;mw06928.jpg
Adam Blackwood;1500;Civil lawyer and Roman Catholic polemicist;mw129304.jpg
Ambrosio Spinola, Marqués de los Balbases;1500;Spanish general, Governor of the Duchy of Milan;mw129525.jpg
Bartholomeus Spranger;1500;Mannerist painter;mw207337.jpg
Sir Christopher Wray;1500;Judge;mw06938.jpg
Philemon Holland;1500;Translator;mw129369.jpg
Thomas Holland;1500;Translator, professor and Calvinist scholar;mw126819.jpg
Ambrose Blaurer;1500;German Lutheran divine;mw262815.jpg
Dominic Collins;1500;Irish Jesuit lay brother and soldier;mw127069.jpg
Francis Bacon, 1st Viscount St Alban;1500;Philosopher and Lord Chancellor;mw115306.jpg
Ludovicus Blosius;1500;Benedictine monk and writer;mw205419.jpg
Sir James Dyer;1500;Judge;mw01998.jpg
Henry Stanley, of Aughton;1500;Grandson of George Stanley, Lord Strange and Joan, 9th Baroness Strange;mw118884.jpg
Sir Thomas Bodley;1500;Diplomat and scholar;mw127572.jpg
Jodocus Hondius;1500;Artist, engraver and cartographer;mw129560.jpg
Sir John Wynn of Gwydir, 1st Bt;1500;Antiquary;mw133502.jpg
Jakob Böhme (Behmen);1500;Mystic;mw136126.jpg
Richard Hooker;1500;Theologian and philosopher;mw03236.jpg
John Hooper;1500;Bishop of Gloucester, Protestant martyr;mw125831.jpg
Sir Thomas Coningsby;1500;Soldier;mw01438.jpg
